Date,Location,Disease,Cases,Deaths,Rainfall (mm),Temperature (°C),Humidity (%),Population Density,Water Quality Index,Air Quality Index,Vaccination Rate (%),Hospital Beds per 1000,Previous Outbreak History,Outbreak Risk
2020-11-09,Parappanangadi,COVID-19,297,1,165,34.274665546822355,74,Low,Poor,Low,61.93247955168049,2.8330916215575623,Yes,Medium
2021-11-29,Malappuram,Typhoid,98,11,199,21.87193986719028,70,High,Very Poor,High,40.013020019951846,1.7824972168980275,Yes,Low
2022-06-02,Melattur,Malaria,482,10,172,31.75489524364885,86,High,Very Poor,High,80.8514373647659,1.7437454538418553,No,High
2019-10-28,Areekode,Nipah Virus,234,9,181,27.297748342903798,63,Medium,Good,High,41.46145026895055,2.7656809665578406,Yes,Medium
2020-02-07,Malappuram,Nipah Virus,441,12,155,32.142866394910186,81,Medium,Very Poor,High,54.5340936894555,3.0102612853182773,No,High
2017-08-30,Tanur,Leptospirosis,483,13,124,20.542210858723635,61,High,Good,High,81.16789715744379,2.3851743522508526,No,High
2019-01-10,Malappuram,Typhoid,343,19,155,21.542023373858253,80,Low,Very Poor,Moderate,89.88039180898062,3.918110967718154,Yes,High
2024-10-22,Pandikkad,COVID-19,358,13,60,26.153360550009435,93,Medium,Moderate,Moderate,71.26633000749612,3.7033471005977807,No,High
2023-10-16,Kalikavu,COVID-19,62,10,125,33.35952850789795,69,High,Poor,High,59.636268870114726,3.707671319275729,No,Low
2016-08-21,Ponnani,Nipah Virus,467,1,64,27.03526310754595,67,High,Good,Moderate,86.52553142609219,3.8428580368568377,Yes,High
2025-11-19,Pandikkad,Nipah Virus,10,18,74,23.08426151848702,67,Medium,Poor,Moderate,50.915547339486885,2.006808778872228,No,Medium
2015-12-03,Manjeri,Cholera,46,5,172,32.01987347692287,68,Low,Poor,Moderate,87.98909809441669,2.7881569536757773,No,Medium
2025-07-11,Ponnani,Leptospirosis,434,2,57,22.337208162078372,75,High,Good,High,82.69997048082334,3.563095985901399,No,High
2020-07-26,Tirur,Malaria,213,12,146,22.506330677108345,88,Low,Good,High,71.76233906310168,3.7205974503374377,Yes,Medium
2023-03-28,Perinthalmanna,H1N1,402,17,79,26.560658667045352,71,High,Good,Low,75.47832973045469,2.4995994165012565,Yes,High
2021-10-22,Valanchery,Typhoid,105,8,111,21.539641507404262,76,Low,Very Poor,Low,44.18713470374741,3.0357656349937665,Yes,Low
2025-02-12,Ponnani,Malaria,392,1,73,29.592271453935197,63,Medium,Good,Moderate,44.19452362621665,2.4906674123975723,No,High
2023-01-11,Kalikavu,Cholera,199,13,118,26.911935461699976,76,Medium,Poor,Low,50.17900803432502,2.9057446972528087,No,Medium
2019-11-18,Chelembra,Cholera,35,11,62,25.691671052089244,85,High,Very Poor,High,89.46650456004019,2.4321214149168475,No,High
2017-07-12,Valanchery,Malaria,21,10,82,32.298479880054636,62,Medium,Very Poor,Moderate,87.14998661115726,1.7169748380364247,Yes,Medium
2025-04-19,Chelembra,H1N1,200,14,73,30.90247933633179,70,Medium,Moderate,High,78.03859712960259,2.8209602491624333,No,Medium
2022-08-27,Malappuram,Typhoid,383,7,126,27.51243047478237,87,High,Good,Moderate,66.46432449502524,3.441916108617868,Yes,High
2024-04-04,Chelembra,H1N1,283,11,52,31.15020634737817,85,Medium,Moderate,High,88.24090920694853,3.0703633640909342,Yes,Medium
2017-11-22,Kottakkal,Nipah Virus,38,12,111,20.868670425733395,88,Low,Very Poor,High,56.11576259963373,1.5766963763439954,Yes,High
2018-11-29,Areekode,Nipah Virus,37,3,131,24.05767704943596,66,High,Very Poor,High,80.37686678539936,2.630630071021664,No,Low
2019-05-15,Tirur,H1N1,353,15,74,29.151847678693382,90,High,Good,Moderate,74.1092969551835,1.9356249584306595,No,High
2021-07-26,Ponnani,Cholera,320,10,123,32.68777139214755,91,Low,Poor,Low,78.65274472513363,2.787123137952498,Yes,High
2016-06-09,Valanchery,Typhoid,25,9,190,22.627370462873934,93,Medium,Moderate,Low,58.610496437778785,2.228376844881087,Yes,Low
2017-03-23,Melattur,Typhoid,237,6,62,22.43146473474386,84,Low,Moderate,Low,82.88484420033213,3.0720605269353323,Yes,Medium
2018-02-06,Tirurangadi,Leptospirosis,170,19,102,23.365497403804675,84,High,Moderate,Low,83.52309139226304,2.1410146160619776,Yes,Medium
2015-07-21,Vengara,Nipah Virus,24,1,67,27.100583327957978,89,High,Moderate,Moderate,77.50227876160594,2.4633870459465967,Yes,Medium
2015-02-13,Valanchery,H1N1,281,6,192,25.358849088808235,91,High,Moderate,High,80.74457673144227,3.539264326631209,Yes,Medium
2020-06-28,Kalikavu,Leptospirosis,132,8,68,31.332947233820295,62,High,Very Poor,Moderate,57.98847038855226,3.9042048612195726,No,Medium
2019-04-29,Kondotty,H1N1,178,11,68,33.44760763724767,79,High,Moderate,Low,44.48380591058263,2.0708333894911632,Yes,Medium
2017-07-05,Chelembra,Leptospirosis,288,0,173,29.115341449006635,86,High,Very Poor,Moderate,45.95309113817288,2.7739546229138368,Yes,High
2025-03-31,Vengara,H1N1,112,6,109,22.841580005772105,87,Medium,Poor,Low,78.72661649661083,2.1658877012599236,Yes,High
2025-12-08,Ponnani,H1N1,183,4,133,26.63320842497584,92,Low,Very Poor,Moderate,84.02113197094891,3.6057648062994074,Yes,High
2020-08-05,Kalikavu,COVID-19,363,19,97,24.91966200781958,91,High,Good,Low,58.93145101165544,1.923464049897658,No,High
2024-11-12,Melattur,Typhoid,424,5,158,34.22513689876487,72,Medium,Good,Moderate,59.3142730676735,3.145873256540546,Yes,High
2018-04-30,Melattur,Cholera,105,14,141,29.871238170643196,91,High,Good,High,72.29394547676779,1.50772846705805,Yes,Low
2018-11-10,Malappuram,H1N1,379,15,159,23.917265822083692,85,High,Very Poor,Moderate,83.7034589344247,1.8893551701739697,Yes,High
2024-03-18,Vengara,Typhoid,76,4,181,28.948741495340578,61,Low,Very Poor,Moderate,73.14486350682228,3.1031409508005288,No,Medium
2017-09-25,Perinthalmanna,H1N1,322,12,195,28.063156049587768,74,Low,Very Poor,Low,52.38559373269948,3.5834283436675283,No,High
2018-07-11,Nilambur,Cholera,139,8,82,25.72843242675399,79,Medium,Good,High,67.35005636933413,2.077068581167686,Yes,Low
2015-06-03,Edappal,Malaria,376,2,64,21.96882831696395,65,Medium,Moderate,Low,88.44036704455317,1.8772108364325182,Yes,High
2023-03-10,Edappal,Typhoid,447,3,92,29.046866063249468,74,High,Good,Moderate,88.4846892305612,2.956035700049178,No,High
2021-03-08,Manjeri,Nipah Virus,166,6,144,27.749586480604467,85,Low,Poor,Low,86.97607787645879,1.7714003171171566,Yes,High
2020-11-27,Kalikavu,Leptospirosis,335,16,68,27.415674814159434,67,Low,Good,High,40.1727668396813,3.1295631151952437,Yes,High
2018-11-08,Kalikavu,COVID-19,74,15,114,22.952444386240256,63,Low,Moderate,High,88.26181982284771,3.035511855641181,No,Low
2022-07-26,Perinthalmanna,Cholera,149,19,156,31.48405530280034,80,Medium,Good,Low,84.98427129283628,2.5481294854735834,Yes,Low
2023-10-06,Parappanangadi,Leptospirosis,123,3,118,30.21112744712523,78,Low,Good,Moderate,45.42983888297947,3.4249979294844883,No,Medium
2017-07-02,Kondotty,Dengue,106,4,76,25.835112080636677,71,Medium,Very Poor,High,88.54549576540019,3.6878705630452733,No,Low
2022-09-24,Manjeri,Dengue,360,16,183,33.71523712433695,88,Medium,Good,Moderate,60.32943361248863,1.7263163211707733,Yes,High
2024-06-13,Edappal,Dengue,317,8,98,30.971313343942064,71,Low,Poor,Moderate,88.80021617816709,2.1419966889617967,Yes,High
2017-01-02,Kondotty,Cholera,171,15,178,30.552611406967234,84,Medium,Good,Low,86.6407629366034,2.042271352273497,Yes,Medium
2024-08-30,Vengara,Typhoid,7,17,69,23.20395329148259,78,Medium,Good,Low,78.81886731060108,3.8868476570888415,No,Low
2020-04-30,Edappal,H1N1,295,10,106,34.90358432213208,87,High,Very Poor,Moderate,40.81333260196834,2.288585477940307,No,High
2023-04-22,Kondotty,Leptospirosis,123,5,124,21.110136010599547,85,High,Moderate,Low,71.5317497547023,1.5705228581079955,No,Low
2018-09-14,Vengara,Malaria,77,19,145,22.705400389717344,60,Low,Moderate,Moderate,86.88777868900712,2.4098539241661245,Yes,Medium
2016-03-08,Manjeri,COVID-19,225,6,177,30.962786101783212,73,Medium,Poor,Low,56.062541065892084,2.883177283338818,No,Medium
2025-06-07,Kalikavu,Typhoid,268,7,170,27.939756481690623,86,Medium,Moderate,Moderate,40.61000727358857,1.7464734425092188,No,Medium
2022-07-13,Tirur,Dengue,285,18,168,33.48469593549569,68,Low,Good,Moderate,76.56396725712383,2.117159303561627,Yes,Medium
2016-12-15,Thiruvali,Nipah Virus,139,6,91,33.79571311364129,91,Medium,Very Poor,Moderate,56.31202915130362,2.074706045738309,No,High
2015-10-15,Ponnani,Dengue,219,13,166,33.993882228173405,64,High,Very Poor,Moderate,41.545108181661924,1.799315476268186,No,Medium
2020-10-06,Thiruvali,Dengue,19,10,93,23.243369254819005,73,Low,Moderate,High,63.92286650780015,1.5422352815195994,No,Low
2024-08-15,Manjeri,Typhoid,448,19,53,25.76109103945265,65,High,Very Poor,Low,56.18918902651128,2.9873591565325386,Yes,High
2016-02-13,Tanur,COVID-19,351,6,78,27.493250257736506,76,Medium,Moderate,Moderate,40.89551209986112,3.080356593264009,No,High
2019-09-12,Pandikkad,Typhoid,195,4,70,24.626269088331952,85,Medium,Moderate,Low,59.7783136313632,2.957042556781678,Yes,Medium
2017-01-22,Valanchery,Leptospirosis,375,6,154,26.825262704501938,87,Medium,Poor,High,47.70136849995122,3.7546239071732126,No,High
2022-11-24,Kondotty,Cholera,249,14,120,28.740341852787665,65,Low,Poor,High,47.91181573261595,3.836033865717293,Yes,Medium
2020-05-21,Kottakkal,COVID-19,143,9,105,32.48149943195678,81,Low,Very Poor,Low,80.2427196837395,3.033924281835437,Yes,High
2017-08-09,Kondotty,Dengue,290,16,103,20.58458283650059,88,Low,Poor,High,73.54473431043345,3.4043818338195675,Yes,High
2021-12-07,Tanur,Cholera,471,3,122,23.699335022214928,86,Low,Poor,High,53.68225673329077,2.6159672032685988,Yes,High
2015-07-23,Edappal,H1N1,61,4,181,21.896941655782513,75,Medium,Poor,Low,57.0406538468777,3.1637724516143493,Yes,Low
2021-09-22,Tanur,Dengue,71,4,84,27.747846726409083,62,High,Good,High,48.923803021193805,3.1908133906035925,No,Low
2016-04-26,Tirurangadi,H1N1,444,3,175,30.50057920951251,88,Low,Poor,High,49.546873090746416,2.3975544742130293,No,High
2018-06-27,Malappuram,Typhoid,251,14,151,30.11829235984571,63,Low,Good,High,43.83942243532437,2.4977848293569096,No,Medium
2022-01-07,Kalikavu,Dengue,322,2,169,25.261352425856586,60,Medium,Very Poor,High,46.681568691098214,2.1795719881661,Yes,High
2020-06-09,Chelembra,H1N1,214,1,52,31.82266985895129,72,High,Good,Low,53.26327281076942,3.447239121133876,Yes,Medium
2021-08-12,Tirur,Typhoid,152,8,88,26.254648057876675,82,Medium,Good,High,57.00152818546978,3.5293827767775863,No,Medium
2025-03-18,Tanur,Nipah Virus,349,16,122,30.00768916786607,91,Low,Very Poor,High,77.19308735780007,2.4449421611244664,Yes,High
2023-04-18,Manjeri,Typhoid,177,9,83,31.482251743257375,70,High,Moderate,Moderate,41.08220637569599,1.5185348567177401,Yes,Medium
2020-06-28,Areekode,Leptospirosis,270,9,157,23.487566265321057,83,Medium,Very Poor,High,81.35361502858338,1.7705569237449938,No,High
2015-10-31,Nilambur,Dengue,46,5,190,26.928084146469846,63,Low,Moderate,Moderate,71.41284541285141,1.9728174583486164,Yes,Medium
2018-09-23,Tanur,COVID-19,232,6,118,27.811395479049636,75,High,Good,Low,89.50214292743664,3.3273832007030197,Yes,Medium
2018-05-18,Tanur,Malaria,172,6,117,23.190057361023367,69,High,Very Poor,High,82.19855195638152,1.5637915138716925,Yes,Medium
2015-09-09,Tanur,Dengue,17,14,158,32.887404861793925,80,High,Very Poor,Low,58.310364473377874,1.7134679304619915,Yes,Low
2023-10-06,Malappuram,Malaria,269,1,171,27.51078559247069,84,High,Very Poor,Moderate,74.7789194292738,3.0506045249848888,Yes,High
2015-03-30,Kalikavu,Cholera,474,19,198,23.966994765448284,72,Low,Good,Low,63.795071150723516,2.2736343556426855,Yes,High
2020-08-08,Kottakkal,Dengue,402,17,160,20.219296425685588,77,Low,Poor,High,62.065661359771916,3.161696408273194,Yes,High
2023-06-09,Edappal,Dengue,313,6,173,28.370063780211396,63,High,Poor,High,47.28093491489621,2.9700861364741153,No,High
2016-09-06,Tanur,Dengue,379,18,176,23.251971685164925,72,Low,Moderate,High,44.81897822450647,1.8736112235872469,Yes,High
2025-05-17,Vengara,Leptospirosis,36,6,140,33.46794167877253,81,High,Moderate,High,59.460943361907425,1.7386118825353465,No,Low
2023-06-24,Manjeri,H1N1,43,12,59,31.655134928337624,84,High,Very Poor,High,48.69898594303569,2.7992368462475774,Yes,High
2020-10-18,Perinthalmanna,Dengue,417,19,102,26.236982633987814,63,Low,Very Poor,Moderate,41.4876334883935,2.864874104954091,No,High
2023-02-12,Kottakkal,Nipah Virus,347,0,56,32.96440527073626,72,Low,Moderate,Low,86.5296830131301,2.096480314439952,No,High
2018-03-21,Vengara,Typhoid,100,14,123,23.363395320202944,60,High,Moderate,High,68.4997367462518,2.3331002159101453,Yes,Low
2018-01-21,Kalikavu,Cholera,59,18,97,27.741494046627956,74,High,Poor,Moderate,41.88671443509617,3.304687452424867,No,Medium
2023-09-27,Nilambur,Malaria,87,18,154,34.736954859097395,89,Medium,Moderate,Moderate,76.45250880381337,2.5671483784739286,No,Medium
2020-11-19,Perinthalmanna,H1N1,70,6,126,23.39598422870075,64,High,Very Poor,High,86.25843139796928,2.290029239531354,Yes,Low
2020-05-22,Pandikkad,Malaria,479,6,142,31.722235931789783,86,High,Good,Moderate,48.68443968112191,2.6763468126194034,Yes,High
2019-04-27,Tirurangadi,H1N1,56,2,114,29.443621364997,94,Low,Good,High,63.66598679058498,3.5028240630286502,Yes,Low
2023-12-30,Perinthalmanna,Nipah Virus,426,8,147,32.717003735549525,84,Medium,Very Poor,High,79.72968652977718,2.9426738307417715,Yes,High
2020-07-24,Vengara,H1N1,168,3,103,24.185860565636116,88,High,Good,Low,77.2790850151605,1.6337952917677323,No,Medium
2021-05-23,Manjeri,Nipah Virus,489,18,91,30.85344973956931,74,High,Moderate,Low,58.615166702409596,2.9581585999013638,No,High
2019-12-28,Edappal,COVID-19,381,6,168,24.424622067908846,70,Low,Moderate,Low,66.39029421332094,3.411936395750084,No,High
2015-06-05,Tanur,Cholera,342,7,60,33.940602079045995,83,Low,Moderate,High,47.67471860197749,3.800256705251125,Yes,High
2018-01-20,Valanchery,Typhoid,76,10,160,21.230754347496045,70,Low,Good,Low,81.03555580259498,2.777751503681116,No,Low
2021-12-13,Chelembra,Malaria,476,6,156,27.8468148279485,68,Medium,Very Poor,Low,47.97114905236962,2.4008167816911783,No,High
2021-09-28,Perinthalmanna,Dengue,26,19,141,30.737344885878155,72,Medium,Moderate,High,70.6057311672909,3.0467900473891794,Yes,Low
2017-10-29,Vengara,Nipah Virus,460,1,171,29.282215466361023,90,Medium,Moderate,High,56.45910791413604,1.5788760310056729,No,High
2022-07-09,Melattur,Malaria,238,11,189,20.388356765864362,79,High,Poor,Moderate,44.738620002412844,3.083176570596298,No,Medium
2015-06-25,Manjeri,Nipah Virus,51,11,159,28.192290525826145,61,High,Good,High,87.20133985966622,3.7551543417948854,Yes,Low
2023-04-20,Malappuram,COVID-19,398,0,86,29.74352003263828,90,Medium,Very Poor,Low,43.74893429695341,1.700993391555555,No,High
2017-09-14,Kottakkal,Dengue,418,6,176,25.47413923303465,68,Medium,Poor,Low,78.31185457411561,3.5464646245712323,No,High
2022-02-01,Ponnani,Leptospirosis,437,14,160,23.841978607026714,75,Medium,Very Poor,Moderate,47.62735810169752,2.0435878130648346,No,High
2023-01-15,Malappuram,Typhoid,143,6,192,21.382865266496008,66,Low,Poor,Low,46.37429831755994,1.917242244260031,No,Low
2017-12-16,Parappanangadi,Nipah Virus,172,10,150,30.217372697765665,60,Low,Poor,High,65.29691602998851,2.0220629482744217,No,Medium
2024-05-07,Tirur,Leptospirosis,24,17,162,21.29671969545947,62,Low,Moderate,Low,43.26588442323046,2.655939625337586,Yes,Low
2016-02-22,Tirur,Typhoid,367,11,56,32.89731319434026,87,High,Moderate,Low,51.89564836003502,2.64569851719739,No,High
2021-08-13,Edappal,Dengue,29,9,51,30.546656715542802,91,Low,Moderate,High,75.79761935266276,3.651171640447963,No,Low
2024-08-04,Thiruvali,Nipah Virus,53,10,138,30.551834488387954,79,Low,Poor,Low,56.52357073316044,1.8155813167918418,No,Low
2021-09-05,Perinthalmanna,COVID-19,49,0,139,33.52694883808767,64,Low,Very Poor,High,82.51870395086632,3.421065478180326,No,Low
2015-06-11,Kondotty,Nipah Virus,388,19,143,23.131498021601807,75,High,Good,Moderate,70.57898297641631,2.935338290483642,No,High
2025-09-14,Melattur,H1N1,107,19,184,30.239934230731127,86,Medium,Good,Low,65.56803061405284,2.5914818146094136,No,Low
2020-05-11,Manjeri,Nipah Virus,323,18,67,31.53943970564535,83,High,Very Poor,High,62.1236257271112,2.9970665995288885,Yes,High
2017-12-31,Tanur,Dengue,112,15,149,30.719433180735443,90,Low,Very Poor,Low,70.49465151167584,3.62680742971936,Yes,High
2015-08-20,Tirurangadi,Cholera,8,6,181,21.988677965284435,84,Low,Poor,Moderate,71.48071786755762,3.187430509667045,Yes,High
2015-06-06,Ponnani,H1N1,316,16,146,30.153348110174385,64,Medium,Good,Moderate,70.96879778546909,3.936080617580708,No,High
2017-11-10,Kondotty,Nipah Virus,75,4,194,24.074735593317776,63,Low,Very Poor,High,71.82716889940778,1.7408833405728983,No,Low
2019-01-05,Tanur,Nipah Virus,476,6,191,23.996959489030626,88,Medium,Very Poor,Moderate,40.432387936357614,3.096846168200992,No,High
2025-01-10,Manjeri,Malaria,404,17,180,29.574572054838015,62,High,Moderate,Low,47.71386492282761,2.9370138118805755,Yes,High
2017-10-24,Nilambur,Cholera,408,7,86,20.75885122444547,78,High,Poor,Low,75.3857743068013,1.9297543144554248,No,High
2015-03-13,Malappuram,Leptospirosis,243,0,136,32.76169863901377,70,Low,Poor,Moderate,81.53943456599205,2.4865176690472697,Yes,Medium
2023-03-30,Manjeri,H1N1,411,18,195,33.0232307997496,76,Medium,Very Poor,Moderate,41.488694321989115,2.920951279357193,Yes,High
2017-01-09,Ponnani,Leptospirosis,104,12,135,28.557853446251237,78,High,Moderate,High,86.6561850289043,3.940409296276885,Yes,Low
2015-06-03,Manjeri,Malaria,310,12,169,26.715825479670947,74,High,Poor,Low,68.73929478657814,1.9909263710521254,Yes,High
2015-12-26,Thiruvali,Leptospirosis,488,16,152,26.192139065435622,60,Medium,Very Poor,Moderate,64.91019847126913,3.8058152844905937,Yes,High
2021-11-27,Areekode,Nipah Virus,371,2,55,28.08861465598294,71,High,Good,High,43.722047522170485,2.655038687117056,No,High
2015-01-27,Manjeri,Cholera,375,16,59,33.48140966352603,67,High,Very Poor,High,72.25250034191862,2.4837855852203528,Yes,High
2015-02-17,Ponnani,Leptospirosis,29,10,63,30.381418702129103,68,Medium,Good,Low,52.16414445334139,3.090775888262795,Yes,Low
2019-02-21,Tirurangadi,Typhoid,462,11,146,20.925215709726007,65,Medium,Very Poor,High,79.49747667304601,3.4207690909547765,Yes,High
2023-04-13,Chelembra,Leptospirosis,438,19,184,34.33030857789813,80,High,Very Poor,High,51.62451442052303,1.611988758980852,No,High
2022-07-05,Perinthalmanna,Dengue,283,15,181,34.61304532981402,84,High,Good,Low,68.67112152060227,1.99281439912911,No,Medium
2019-12-30,Tanur,Malaria,29,3,166,34.37024157261095,71,Medium,Poor,Low,46.316633864575664,2.1800365356892932,Yes,Low
2022-10-21,Vengara,Dengue,290,8,115,25.54173622185227,69,High,Very Poor,High,89.19395756882554,3.5476128697337894,Yes,Medium
2019-02-10,Kondotty,Cholera,78,6,132,23.63382541494537,72,Medium,Moderate,Low,77.19277990573813,1.9016052412245363,Yes,Low
2017-12-29,Pandikkad,Cholera,9,4,158,34.60532266929732,65,Low,Poor,Low,86.213863036709,3.1980625007567998,Yes,Low
2018-02-07,Kondotty,Cholera,462,18,105,21.12625975165703,80,Low,Very Poor,High,75.0091390767175,3.882079018615807,No,High
2023-08-06,Vengara,Nipah Virus,434,9,68,21.655206281230004,83,High,Good,High,71.07001032812533,2.6645811153505212,No,High
2023-07-13,Malappuram,Dengue,15,4,54,27.814480002334825,91,Medium,Moderate,High,80.88450321384894,2.8856423865832563,Yes,Low
2024-09-03,Tanur,Leptospirosis,302,3,94,27.235342975647978,92,Medium,Poor,Low,47.104706592246536,2.7374923774185707,No,High
2024-11-01,Tirur,Cholera,113,9,197,29.083567540198096,84,High,Very Poor,High,40.457904852170905,3.492198938575255,Yes,High
2022-04-29,Melattur,H1N1,307,17,106,25.28940546386915,92,Medium,Moderate,Low,89.75421351182386,3.4944129599446176,No,High
2022-06-22,Tirur,Cholera,148,17,73,26.46569900863895,76,High,Good,High,59.70208894209517,1.5271313121112795,No,Low
2021-05-21,Chelembra,COVID-19,78,9,147,20.78556838085026,65,High,Moderate,Moderate,68.50404780390352,1.5754459182402547,Yes,Medium
2021-10-15,Parappanangadi,Leptospirosis,217,15,79,23.174502178326186,89,Medium,Moderate,Low,64.26713579556989,2.9854461475033887,Yes,Medium
2020-05-09,Kalikavu,Malaria,209,13,79,34.825363016949524,94,Medium,Very Poor,Moderate,86.07454239137218,3.2235563995702394,No,High
2018-03-05,Vengara,Cholera,220,1,152,33.36066893084947,80,Low,Good,Moderate,45.96897417893827,3.157960030966784,No,Medium
2023-04-16,Valanchery,Typhoid,84,9,197,26.374930726393657,77,Medium,Poor,Low,46.14479267837339,3.3454113996860455,Yes,Low
2022-02-06,Edappal,COVID-19,100,13,124,33.19467227452436,62,Medium,Good,Moderate,81.43968844182726,2.3540892697891236,No,Medium
2016-05-11,Thiruvali,Cholera,15,1,144,33.790441587012985,86,Medium,Good,Low,77.87825956458539,2.492281661813124,No,Low
2024-12-10,Tirurangadi,Malaria,411,13,189,27.508592438758843,92,Medium,Poor,Moderate,71.50600269663357,2.180338882219142,No,High
2023-09-11,Tirurangadi,H1N1,94,0,145,28.342686180423307,66,High,Poor,High,69.56876259349539,2.7247999852679783,No,Low
2022-02-27,Pandikkad,Leptospirosis,400,11,112,24.84613283248511,90,Low,Poor,Moderate,58.53644672618523,1.7237804618770858,No,High
2025-03-05,Kottakkal,Cholera,185,17,56,33.50875334731124,62,Low,Poor,High,43.931745959153275,3.4122805005110015,No,Medium
2023-03-13,Chelembra,Malaria,419,16,70,31.258559913723452,70,Medium,Moderate,Low,77.96683130512184,2.0438756078419864,No,High
2015-12-23,Tirur,H1N1,435,12,172,32.78504743935319,89,Medium,Moderate,High,41.28530836917549,1.806384411540047,No,High
2021-07-18,Melattur,Leptospirosis,330,17,120,27.973223298284857,77,High,Poor,Moderate,80.84099317713016,2.7677788429628882,Yes,High
2018-10-15,Vengara,Dengue,117,8,178,28.4952588585791,83,High,Poor,Low,74.88426562643488,1.962202428035758,No,High
2016-04-02,Ponnani,Malaria,318,18,83,31.067369682082514,61,Low,Moderate,High,52.17959027302882,3.6558984094803884,No,High
2025-02-04,Nilambur,Cholera,164,10,100,29.479321108183086,67,Low,Moderate,Moderate,50.705515842738386,3.270440206200977,Yes,Medium
